Summary ,Action,Data,Expected Result
SW Update_GOTA_Mandatory_Firmware Upgrade from background on standby mode with WIFI 5Ghz,"On GOTA server, a new version N is available

DUT is installed with N-1  version and connected to WIFI (5ghz)

Put your DUT in standby mode
After X times (TBD for each project), power on your DUT

Go to menu settings and check that the new software version is well updated",,"DUT is in standby mode
The version N is well installed, all settings are saved (apps account, pin code, locked channels ...)

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Update_GOTA_Mandatory_Firmware Upgrade from background on live mode ,"On GOTA server, a new version N is available

DUT is installed with N-1  version and connected to ethernet

Put your DUT in live channel for 24 h or 6h (to be confirmed with dev team in rmv)

Check that after  XX time, a pop up is displayed informing the user that a new sw version is available with 2 options : reboot now or later.

Choose reboot now option
Choose later option",,"DUT reboots and install the new software version.

AV are OK
DUT should install the new sw version in the next reboot (standby or electrical reboot)"
SW Update_GOTA_Automatic_Firmware Upgrade during FTI with WIFI 5GHz,"On GOTA server, a new version N is available 

{color:#172b4d}GOTA server is configured with Automatic mode {color}

DUT is installed with N-1 version and connected to wifi 5Ghz

==> Do reset factory
When the new version N is downloaded, check that DUT reboots on the new version.",,"DUT reboots and FTI process starts
The version N is well installed, and it's possible to complete the FTU on the new version.

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Update_GOTA_Automatic_Firmware Upgrade during FTI with WIFI 2.4GHz,"On GOTA server, a new version N is available

{color:#172b4d}GOTA server is configured with Automatic mode {color}

DUT is installed with N-1 version and connected to wifi 2.4Ghz

==> Do reset factory
When the new version N is downloaded, check that DUT reboots on the new version.",,"DUT reboots and FTI process starts
The version N is well installed, and it's possible to complete the FTU on the new version.

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Update_GOTA_Automatic_Firmware Upgrade during FTI with ethernet,"On GOTA server, a new version N is available


*{color:#172b4d}GOTA server is configured with Automatic mode {color}
*
DUT is installed with N-1 version and connected to ethernet

==> Do reset factory
When the new version N is downloaded, check that DUT reboots on the new version.",,"DUT reboots and FTI process starts
The version N is well installed, and it's possible to complete the FTU on the new version.

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Upgrade_GOTA_Automatic_Firmware Upgrade during FTI from usine version,"On GOTA server, a new version N is available
*{color:#DE350B}
DUT is declared in the server{color}*

DUT is installed with usine version and connected to ethernet or WIFI

==> Do reset factory
When the new version N is downloaded, check that DUT reboots on the new version.",,"DUT reboots and FTI process starts
The version N is well installed, and it's possible to complete the FTU on the new version.

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Upgrade_GOTA_Automatic_Firmware Upgrade from settings with ethernet,"On GOTA server, a new version N is available
*{color:#DE350B}GOTA server is configured with automatic-update: mode {color}*

DUT is installed with N-1  version and connected to ethernet 

Go to settings menu/About/Software Update  then launch update from the actual version to the given Version (defined in the RMV)
Check that user settings are well saved
Check that Last Date Check is changed and updated",,"Upgrade started correctly and software is up to date correctly
The version N is well installed, all settings are saved (apps account, pin code, locked channels ...)

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Update_GOTA_Automatic_Firmware Upgrade from settings with WIFI 5GHZ,"On GOTA server, a new version N is available

*{color:#DE350B}GOTA server is configured with automatic-update: mode{color}* 

DUT is installed with N-1  version and connected to Wifi 5ghz

Go to settings menu/About/Software Update  then launch update from the actual version to the given Version (defined in the RMV)
Check that user settings are well saved
Check that Last Date Check is changed and updated",,"Upgrade started correctly and software is up to date correctly
The version N is well installed, all settings are saved (apps account, pin code, locked channels ...)

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Update_GOTA_Automatic_Firmware Upgrade from settings with WIFI 2.4GHZ,"On GOTA server, a new version N is available
*
{color:#DE350B}GOTA server is configured with automatic-update: mode *{color}

DUT is installed with N-1  version and connected to Wifi 2.4ghz

Go to settings menu/About/Software Update  then launch update from the actual version to the given Version (defined in the RMV)
Check that user settings are well saved
Check that Last Date Check is changed and updated",,"Upgrade started correctly and software is up to date correctly
The version N is well installed, all settings are saved (apps account, pin code, locked channels ...)

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Update_GOTA_Automatic_Firmware Upgrade from background on standby mode with WIFI 5Ghz,"On GOTA server, a new version N is available


*{color:#DE350B}GOTA server is configured with automatic-update: mode 
{color}*
DUT is installed with N-1  version and connected to WIFI (5ghz)

Put your DUT in standby mode
After X times (TBD for each project), power on your DUT

Go to menu settings and check that the new software version is well updated",,"DUT is in standby mode
The version N is well installed, all settings are saved (apps account, pin code, locked channels ...)

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Update_GOTA_Automatic_Firmware Upgrade from background on standby mode with WIFI 2.4Ghz,"On GOTA server, a new version N is available

*{color:#DE350B}GOTA server is configured with automatic-update: mode {color}*

DUT is installed with N-1  version and connected to WIFI (2.4ghz)

Put your DUT in standby mode
After X times (TBD for each project), power on your DUT

Go to menu settings and check that the new software version is well updated",,"DUT is in standby mode
The version N is well installed, all settings are saved (apps account, pin code, locked channels ...)

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Update_GOTA_Automatic_Firmware Upgrade from background on standby mode with Ethernet,"On GOTA server, a new version N is available
*{color:#DE350B}
GOTA server is configured with automatic-update: mode {color}*

DUT is installed with N-1  version and connected to ethernet

Put your DUT in standby mode
After X times (TBD for each project), power on your DUT

Go to menu settings and check that the new software version is well updated",,"DUT is in standby mode
The version N is well installed, all settings are saved (apps account, pin code, locked channels ...)

AV are well played, no black screen, no crash ..

The new version is displayed on about menu"
SW Update_GOTA_Automatic_Firmware Upgrade from background on live mode ,"On GOTA server, a new version N is available
*{color:#DE350B}
GOTA server is configured with automatic-update: mode {color}*


DUT is installed with N-1  version and connected to ethernet

Put your DUT in live channel for 24 h or 6h (to be confirmed with dev team in rmv)

Check that after  XX time, a pop up is displayed informing the user that a new sw version is available with 2 options : reboot now or later.

Choose reboot now option
Choose later option",,"DUT reboots and install the new software version.

AV are OK
DUT should install the new sw version in the next reboot (standby or electrical reboot)"
SW Update_GOTA_Error Reacts_Upgrade with unsigned SW,Try to install the unsigned/Corrupted SW to the DUT ( DUT is installed by N version ) with GOTA,,No FW detected and Unsigned SW can't be installed. The N version still installed and works well
 SW Update_GOTA_Error React_Unplug / Plug HDMI cable during software update ,During software update with GOTA unplug the HDMI cable then plug it after 1min,,DUT continues upgrading the new software without any problem
SW Update_GOTA_Error Reacts_Upgrade interrupted by S0.5 standby mode entry ,"Connect to GOTA server and create a rule to update DUT with the right information 

Go to settings menu/About/Software Update  then launch update from the actual version to the given Version (defined in the RMV)

During the download ( the progress bar or the percentage of downloaded new
version is displayed ) press the power button on the RCU
Press the power button to wake up the DUT",,"DUT enters on S0.5 standby mode
DUT wake up correctly and it still download the new version

==> After download the new version installed correctly on DUT"
SW Update_GOTA_Error Reacts_Upgrade interrupted by power cycle ,"Connect to GOTA server and create a rule to update DUT with the right information 

Go to settings menu/About/Software Update  then launch update from the actual version to the given Version (defined in the RMV)

After starting update, Make Power cycle before 100%
Repeat Step 1 and Make power cycle after 100%",,"DUT reboots on N-1 version
DUT reboots on N version"
SW Update_GOTA_Error Reacts_Upgrade using WIFI SSID hidden,"Edit the Gateway configuration and Hide the Wifi SSID.

According the gateway, DUT is still connected or is disconnected. If DUT is disconnected, reconnect it to the Hidden Wifi SSID
Go in the menu Settings>About and press check for update to ask for new update
Check that the name of the new build on About Menu

",,"DUT is connected in WiFi on the hidden SSID
DUT download the new SW, reboot and install it
New build  is displayed on about menu correctly

"
SW Update_GOTA_Software_Error React_Update Internet lost during update in FTI,"Connect to GOTA server and create a rule to update DUT with the right information using ""Mandatory"" or ""recommended"" modes

Start FTI from Menu settings or using Hard reset buton on the back of the box
- Select language and network

- Wait upgrade screen appears

- Wait 30% of download

- Unplug WAN cable from Gateway

- Wait 10min",,"FTI starts correctly
It is not possible to reach next step of FTU until internet comes back"
 SW Update_GOTA_Error Reacts_Unplug the plug  HDMI cable during software update ,"During software update with GOTA unplug the HDMI cable

then plug the HDMI cable",,DUT continues upgrading the new software without any problem
 SW Update_GOTA_Error Reacts _Wifi password is not displayed on the logs during OTA operation,"Connect to the DUT with adb connection or use Serial Port connection

During install new version from the server check the logs",,the WIFI password should not be displayed in the logs
 SW Update_GOTA_Error React_Internet connexion lost during Update and Popups displayed on DUT,"Go to Menu Settings and Launch Upgrade Firmware

During GOTA update, unplug ethernet cable for more than X seconds
During GOTA update, unplug ethernet cable for less than X seconds, then plug
again the ethernet cable
Redo Step 1  with wifi connection: Turn off gateway during Sota update for more than X seconds
Redo Step 2  with wifi connection: Turn off gateway during Sota update for les than X seconds",,"An error is displayed

 ""An error occured while downloading Error U9, please try again later"", then after 10min popup displayed "" an error occured"" with OK buton to press 

After pressing ""OK"" DUT still with N-1 version
Popup ""connection lost.... DOWNLOAD WILL resume once connection retrieved"" is displayed

Version N is correctly installed on DUT
An error is displayed

""An error occured while downloading Error U9, please try again later"",

then after 10min popup displayed "" an error occured"" with OK buton to press 

After pressing ""OK"" DUT still with N-1 version
Popup ""connection lost.... DOWNLOAD WILL resume once connection retrieved"" is displayed

Version N is correctly installed on DUT"
TV APP_Catch-Up_Launch and Navigation,"Navigate to the channel lineup and check if any channels have catch-up contents available (past programs).
Observe the catch-up content's metadata displayed (e.g., program name, start/end time, program details).
Select a channel with available catch-up content and launch the most recent catch-up program.
Relaunch Channel Line up, If it offers access to multiple past programs, select an older catch-up program to launch.
Navigate to the home launcher and check if there is an option to launch catch-up content (e.g., a ""Catch-up"" or ""Replay"" section): 
 * Observe the catch-up content's metadata displayed and Select a program from the catch-up section and launch it.
Navigate to the EPG and Observe the catch-up contents metadata displayed (e.g., program name, start/end time, program details).
Locate a channel with available catch-up content then select the most recent catch-up program.
If older catch-up contents are available in the EPG, select and launch an older program.
For each catch-up content launched (from Channel Lineup, Home Launcher, and EPG), observe the A/V performance.
During playback, verify the timeline progression",,"The channel lineup displays catch-up icons, thumbnails or labels for available past content.
Metadata is correctly shown, including program title, description, start and end times, and other details 


{*}Note{*}: Metadata depends on TV app spec, it can change from a client to another
The selected catch-up program starts without any delay or errors, Audio/Video are synchronized and playback is smooth.
The older content starts playing correctly, with no playback issues, and displays the appropriate metadata.
The selected catch-up program starts playing correctly, with no A/V or loading issues.
Metadata is correctly shown, including program title, description, start and end times, and other details

{*}Note{*}: Metadata depends on TV app spec, it can change from a client to another
The catch-up content is clearly marked in the EPG, and the program launches without any issues.
The older catch-up content launches correctly, with smooth A/V playback and no interruptions.
The content plays smoothly with correct A/V synchronization, no buffering or quality issues, and smooth navigation across the timeline (start, current position, end).
The timeline correctly reflects the start, current, and end times."
TV APP_Catch-Up_Trickplay Functionality Verification,"While playing a Catch-Up TV program, briefly press the Fast Forward button on the RCU.
Try to press and hold the RCU Fast Forward button. (Long Press)
While playing a catch-up TV program, Briefly press the Rewind button on the RCU.
Try to press and hold the Rewind button. (Long Press)
Use the *D-Pad* right button (for fast forward) and left button (for rewind) on the RCU to skip forward or backward.
Continue watching content for few moments, then press and hold the *D-Pad* left or right button.
Use on-screen controls (if available) for fast forward and rewind (either buttons or timeline slider).

{*}Note{*}: Skip if not supported
Pause the catch-up content for a short duration (e.g., 10-15 seconds) and then resume.
Pause the video for a longer period (e.g., 15 minutes), then resume.
Observe the on-screen timeline progress bar and timecode display during trickplay actions.",,"* The video enters fast-forward mode at the default speed (e.g., x2).
 * The timeline should advance forward, and playback speed should noticeably increase.

{*}Note{*}: Skip If RCU doesn't have FFWD Button
* The fast forward speed should increase (e.g., x4, x8) depending on how long the button is held.
 * The video should continue fast-forwarding until the button is released.

{*}Note{*}: Skip If RCU doesn't have FFWD Button
* The video enters rewind mode at the default speed (e.g., x2).
 * The timeline should move backward, and the video should rewind smoothly.

{*}Note{*}: Skip If RCU doesn't have RWD Button
* The rewind speed should increase (e.g., x4, x8) the longer the button is pressed.
 * The video should rewind continuously until the button is released.
* Each short press should skip forward/backward by a predefined time interval (e.g., 10 seconds).
 * The timeline should reflect the small skips with each press.
* The video should continue skipping forward or backward until the button is released.
 * The skips should be continuous rather than in large jumps.
* Fast Forward and Rewind through UI should function as expected, with smooth navigation at multiple speeds.
 * Dragging the timeline slider should allow skipping to a specific point without delays.
Playback should resume without delay, and the content should continue from the paused point.
* The content should resume correctly from the paused point, without the video restarting or encountering buffering issues.
 * The application should remain responsive throughout the pause period.
* *Fast Forward/Rewind:*

 ** The timeline bar should move smoothly forward or backward.
 ** The time display should update to show the correct time as you fast forward or rewind.
 * *Play/Pause:*

 ** When you pause, the timeline and time display should freeze.
 ** When you play again, the timeline and time display should show the correct spot in the video."
TV APP_Catch-Up_Subtitles and Audio Management,"Manage subtitles and check it's displayed as selected:
 * Enable subtitles.
 * Change subtitle language (if multiple languages are available).
 * Disable subtitles.
*Manage audio settings:*
 * Change the audio language.
 * Enable/disable audio description (if available).
Perform some trickmodes (FFWD/FRWD) on the catch-up content",,"* Subtitles display correctly, language changes are applied, and subtitles are synchronized with the video.
 * Disabling subtitles hides them correctly.
* Audio changes are applied correctly 
 * Audio is synchronized with the video and thet displayed subtitles.
Subtitles should remain synchronized with the audio and video."
TV App_Catch-Up_Transition from Live Multicast to Catch-Up Playback,"While live multicast is playing, navigate to the channel line-up and select a past program to launch catch-up. 

{*}Note{*}: 

If catch-up is not available from the channel line-up, open the Electronic Program Guide (EPG) and select the same program to launch catch-up from there.",,"* The catch-up content should launch immediately without delays.
 * Video and audio should start correctly, with no black screen or freezing during the transition.
 * Playback should begin at the selected catch-up point, not live."
TV App_Catch-Up_Transition from Live OTT to Catch-Up Playback,"While live OTT is playing, navigate to the channel line-up and select a past program to launch catch-up.

{*}Note{*}: 

If catch-up is not available from the channel line-up, open the Electronic Program Guide (EPG) and select the same program to launch catch-up from there.",,"* The catch-up content should launch immediately without delays.
 * Video and audio should start correctly, with no black screen or freezing during the transition.
 * Playback should begin at the selected catch-up point, not live."
TV App_Catch-Up_Transition from Live DVB-C to Catch-Up Playback,"While live DVB-C is playing, navigate to the channel line-up and select a past program to launch catch-up.

{*}Note{*}: 

If catch-up is not available from the channel line-up, open the Electronic Program Guide (EPG) and select the same program to launch catch-up from there.",,"* The catch-up content should launch immediately without delays.
 * Video and audio should start correctly, with no black screen or freezing during the transition.
 * Playback should begin at the selected catch-up point, not live."
TV App_Catch-Up_Transition from Live DTT to Catch-Up Playback,"While live DTT is playing, navigate to the channel line-up and select a past program to launch catch-up.

{*}Note{*}: 

If catch-up is not available from the channel line-up, open the Electronic Program Guide (EPG) and select the same program to launch catch-up from there.",,"* The catch-up content should launch immediately without delays.
 * Video and audio should start correctly, with no black screen or freezing during the transition.
 * Playback should begin at the selected catch-up point, not live."
EPG_Check channel-logos are well displayed,"Go to menu -setting -Scan then launch a scan
Zap tu any channel then Open EPG using RCU_Key_EPG or from menu ans observe channel logos.",,"All available channels are scanned
check that channel logos are displayed on EPG (you could have some channels without logos, it depends to the project services)"
EPG_Short events management ,"Once in EPG screen Check a short event name in EPG
If you have more then  one type of live (OTT, Mcast, Cable, DTT or both), zap to a channel  of each type of live and open the EPG if supported by your project and repeat step 1.",,"The short event name in EPG should be displayed correctly
be sure that the expected of step 1 is obtained"
EPG_ Long event management ,"Once in EPG screen Focus on an event name too long in the time window.
If you have more then  one type of live (OTT, Mcast, Cable, DTT or both), zap to a channel  of each type of live and open the EPG if supported by your project and repeat step 1.",,"On focus no scroll is made.

If the design of the browser does not have enough space to display the full
name of the event, the name event could be followed by three points, (or any other 
indication that the name is not displayed fully)
be sure that the expected of step 1 is obtained"
EPG_Check that general Information are available,"Zap to a channel then Launch EPG from RCU_EPG key or from menu setting
Check that programs can be browsed for all channels of the channel line-up 
Check presence of the program information
If you have more then  one type of live (OTT, Mcast, Cable, DTT or both), zap to a channel  of each type of live and open the EPG if supported by your project and repeat all steps",,"Live is well played and EPG screen is well displayed
For each OTT channel, the following information should be displayed
 * Channels logo
 * Channel number
 * Event title
 * Event start time
 * Event end time or duration
 * images if supported by your project
 * progress bar for ongoing programs
be sure that the expected behavior for each step is obtained"
EPG_Navigating throught the full range(past and future),"In Epg screen navigate in the past by pressing RCU_Rewind key
In EPG screen navigate into the future by pressing RCU_Forward key
If you have more then  one type of live (OTT, Mcast, Cable, DTT or both), zap to a channel  of each type of live and open the EPG if supported by your project and repeat step 1 and step 2.",,"Focus is done one day in the past after each press of key_rewind . 
Focus stay on the same hour slot. (you can go back 7 days in the past after pressing RCU_Rewind key 7 times)
Focus is done one day in the future. 
Focus stay on the same hour slot.  in some cases, user can navigate 14 days in the future after pressing RCU_Forward key 14 times (it depends to your projects)
Verify that the expected behavior for each step is OK"
EPG_Opening and General navigation,"Display the EPG screen by pressing RCU_key_EPG or from menu settings(TV Guide)
Press RCU_Down key on EPG screen several times
Press RCU_UP key on EPG screen several times
Press RCU_Left key several times if it's supported by your project
Press RCU_Right key during the EPG display if it's supported by your project
If you have more then  one type of live (OTT, Mcast, Cable, DTT or both), zap to a channel  of each type of live and open the EPG if supported by your project then repeat all steps
Now connect DUT to wifi connexion and repeat all steps in wifi mode",,"The EPG is well displayed and the focus is on the last played channel.( in some project the focus could be in the default channel)
After each RCU_Down Key press the Focus goes to next channel.

Navigation through channels should be smooth on epg screen and all TV_Program information are well displayed
The EPG is well displayed

After each RCU_Down Key press the Focus goes to previous channel.

Navigation through channels should be smooth on epg screen and all TV_Program information are well displayed
Navigate back in time  should be smooth, Before ""Now"" events, Replay events are displayed.

All TV_Program information are well displayed
Navigates forward in time should be smooth, Future events are displayed in the EPG

All TV_Program information are well displayed
Verify that the expected behavior for each step is OK
The EPG is well displayed and the focus is on the last played channel.

Navigation through channels should be smooth on epg screen and all TV_Program information are well displayed"
EPG_Check current time is correctly displayed,"Once in EPG screen, Check the current time
If you have more then  one type of live (OTT, Mcast, Cable, DTT or both), zap to a channel  of each type of live and open the EPG if supported by your project and repeat step 1",,"DUT time should be GMT (in winter), GMT+1 (in Summer)

P.S: *Current time is displayed and represented with a Vertical line(vertival red line in VF Project for exemple).*
Verify that the expected behavior for step 1 is obtained"
EPG_Dynamic Update,"Remain focus on an event for a long time.


Reboot DUT (or unplug signal cable in case of DVB-C or DTT live)",,"All data  should be updated according to the progress of the live programs
after that all info in EPG should be updated

"
 EPG_ Audio Status when EPG is on the screen and live is displayed in  background,"Once in EPG and live is played in background Press RCU_PLAY, RCU_PAUSE, RCU_STOP buttons.
Press RCU_V+, RCU_V- and RCU_MUTE buttons",,"None works with EPG initiated.


Both works with EPG initiated.

"
Live_DTT_Application channel,"From the channel lineup, Launch an application channel then press *RC-OK Key*

Ensure that application can be launched automatically or with a press on a *""start button""*
Zap to a live DTT channel",,"The behavior is exactly the same as a normal channel: a video stream or an image will be displayed.

The application is launched. : Selected channel is well displayed (i.e: audio video OK and displayed info)
Live is OK (audio , video and displayed info)"
Live_DTT_Quality of Video_Zapping_Persistence,"Zap to DTT channel then press *RC_DOWN* button
Press *RC_UP* button
# Zap to a SD DTT channel
 # Zap on HD DTT channel
 # Zap to a 4K DTT channel if available
# Press many time on P+
 # Press many times on P-
Quick zapping using P+/P- for at least 15min on DTT channels
*Check volume management*
1- Zap to DTT channel 
2- Change volume using V+ V- from RCU
3- Press Mute button, wait 1mn
4-Press Mute again
Reboot DUT
# On live DTT, unplug the signal cable
 # Zap to another DTT channel
 # Plug the Signal cable
Switch to play a content from apps( YT or Netflix) then come play a DTT live",,"Last channel is reached (Switch from channel N to channel N-1). 

Channel line-up appears, A new page appears, and contains :  a tile (which is focused) with the current broadcast, tiles with content scheduled for broadcasting, tiles with catch up content available.
Previous channel is reached (Switch from channel N-1 to channel N).

Channel line-up appears, A new page appears, and contains :  a tile (which is focused) with the current broadcast, tiles with content scheduled for broadcasting, tiles with catch up content available.
# Check that there are no macroblocks on SD channels (~5min); Check that there are no audio glitches on SD channels and that there are no audio glitches during transition SD --> SD & SD --> HD
 # Check that there are no macroblocks on HD channels (~5min); Check that there are no audio glitches on HD channels and that there are no audio glitches during transition HD --> HD & HD --> 4K (if available)
 # Check that there are no macroblocks on 4K channels (~5min); Check that there are no audio glitches on 4K channels and that there are no audio glitches during transition 4K --> HD & 4K --> SD (if available)
# Verify that for each time the zapping is correctly done
 # Verify that for each time the zapping is correctly done
Zapping is done properly
Audio and video are synchronized with the played content
1-Live DTT is palyed , Audio/Video well synchronized
2- Volume changed as requested , voume bar is displayed when volume changes occur
3 - Mute icon is displyed, Audio is muted, and not heared anymore
3-Mute icon is diplayed Audio is unmuted, and heared with previous level of sound
Live DTT should be availble after reboot ( exactly the last service after reboot should be found)
# Video is frozen/black screen, and no audio
 # Live is not available
 # Video comes back. A/V works properly after less than 5 s
No change in audio level in the two steps (Live DTT and Apps)"
Live_DTT_Channel Lineup_Zapping management,"# Zap to a DTT channel with P+/P-
 # Do a numerical zapping
 # Do a zapping from EPG/channel lineup
*Numerical Zapping - 1, 2 and 3 digits Process*
 # Input 1 digits with less than 1.5 seconds after each digit-entry.
 # Input 2 digits with less than 1.5 seconds after each digit-entry.
 # Input 3 digits with less than 1.5 seconds after each digit-entry.
*DTT_Numerical Zapping - data available*

Press available channel number
*Numerical Zapping - data not available*

If available, zap to a DTT channel with dat not available
*Numerical Zapping to channel not available*

Zap to an unavailable DTT channel.
*Numerical Zapping - Cancel zapping*

Begin to set a channel with Numeric Keypad and Press *RC_BACK* or *RC_EXIT* button.",,"1. Check that the infobanner is present after zapping with the correct numbering and correct information. The overview is displayed then automatically disappears after 2.5 seconds.

2. Zapping is correctly done, Check that the infobanner is present after zapping with the correct numbering and correct information.  The overview is displayed then automatically disappears after 2.5 seconds.

3. Zapping is correctly done, Check that the infobanner is present after zapping with the correct numbering and correct information.  The overview is displayed then automatically disappears after 2.5 seconds.
Suitable channel is reached. Once the number completed, there is no timeout.
The overview should have the following informations: 
 * Channel logo and number
 * Program's title
 * A progress bar with duration of the content and elapsed time.
An overview of the current program on the channel appears. 
Unavailable Name : No information 
unavailable Elapsed time : Progress bar hidden
The fallback is the nearest (next or previous) available channel.

Content overview of that channel is correctly displayed.

{color:#de350b}P.S :{color} For some products such as DNA , nothing happens and the current channel still displayed
Channel tuning can be canceled."
Live_DTT_Channel Lineup_Future Content Display & Time Information,"Navigate to the right until the scheduled broadcasted content.
Focus on the tile with content that will be broadcasted just after the live
content.
Focus on tiles with content that will be broadcasted later but not just after
the live content.
Focus on tiles that will be broadcasted for the next day.",,"Every tiles contains :
 * For a film, the movie title
 * The start time

For a series, the series title, (season number and episode on focus)
{color:#172b4d}Below the image of the event the UI will show:{color}
 * Beginning time: HH:MM
 * Duration HHh:MMm (only applicable to past/future events)
 * Only one badge is displayed per card.
{color:#172b4d}Below the image of the event the UI will show:{color}
 * Beginning time: HH:MM
 * Duration HHh:MMm (only applicable to past/future events)
 * Only one badge is displayed per card.
{color:#172b4d}Below the image of the event the UI will show:{color}
 * Beginning time: HH:MM
 * Duration HHh:MMm (only applicable to past/future events)
 * Only one badge is displayed per card."
Live_DTT_Channel Line up,"1. Display channel line up by pressing *RC_Up* button or *RC_Down* button

2. Navigate to the live event tile

3. Press *RC_OK* button.
# Go horizontally through channel's line-up.
 # Go vertically through channel's line-up.
# Open channel line-up and wait
 # Open channel line-up and Press *RC_BACK*
# Long press on RC_UP or RC_DOWN buttons
 # Long press on RC_LEFT or RC_RIGHT.",,"1. Channel line up is open, 6 tiles at max will be displayed on screen. (The tile contains: an artwork (means that the content is playable) for a film, the movie title for a series, the series title, (season number and episode on focus). progress bar of the event.

2. Live content is labelled with 'On Now' followed by the time that the show started. Live content will end by looking at the starting time of the next item in the line-up.

3. Channel is selected
# Once arrived to the first (or the last) tile , horizontal scrolling is stopped. Focus is fixed. The scroll is done one event at a time
 # Vertical scrolling (through channels) is cyclic. Focus is fixed. The scroll is done one channel at a time and the focus goes to the ""Live"" event (On Now).
1. The channel line-up disappears by itself after ~ 60 seconds of inactivity.

2. The channel line-up closes
1. Browse vertically through a channel line-up. Remain pressed accelerate the scroll (no artworks will be displayed during the browsing).

2. Browse horizontally through tiles of the same channel. Remain pressed accelerate the scroll , the artworks remains visible (just applicable in the past)."
Live_DTT_Tuning To unsubscribed channels,"Tune to unsubscribed channel.

",,"Notification is displayed in the top-right corner of the screen.  
Notification contains instructions of how to subscribe to a channel.

"
Live_DTT_Scan without signal,"Perform an Automatic scan

",,"An error message should reported, no channel should be found"
Live_DTT_Check Channel Scan,"Select Channel Scan.  

Select Start Auto Scan entry.
  
Press RC_OK.
Browse the list of channel

Play some channels
For a given DTT channel

Go to system information and check the following info:  
* TV quality
* Channel name
* Signal strength  
* ABR",,"Scan Starts 

Sacan is done

All DTT channels are scanned and available (verify expected number according to porject under test)
A/V synchronization is OK. No macroblocks/glitch audio

Navigation and zapping are smooth
Information are displayed correctly and as expected"
Live_DTT_Scanning status when signal is lost,"Select Channel Scan.  
Select Start Auto Scan entry.


When 50% of scanning  is reached , note the channel's number 

Unplug signal cable
check that found channels are added to the list

",,"Scanning must be started

and channel's number is incremented
DUT shouldn't skip scanning and it should continue

no more channel are found
At the end of the scanning, all found channel should be saved and added to the
list"
Live_DTT_Scanning status after a power cut,"Select Channel Scan.  
Select Start Auto Scan entry.


Wait until the scan progress reaches > 5% and interrupt it by pressing the EXIT button if available
In the 50% of scanning, plug out/in the power cable",,"Scanning must be started




The channel scan is interrupted, the previously saved channel lineup is *NOT* discarded and the channel playback works as expected
DUT reboots

Found channel are lost

DUT returns to the last channel list ( before scanning)"
Live_DTT_Subtitles_Persistence Check,"Select the subtitles menu after pressing *OK-Key* on Live Channel.
Scroll to the subtitles selection list.
Select one of the subtitle in the selection list

Check that subtitles and live audio are synchro.
Disable captions (subtitles) from info banner and check Live channel
Enable again subtitles for info banner then, 

If supported : 

Press *RC-RW/FW* key and observe
Zap to another channel
Put the DUT into standby mode, then wake it up.
Restart DUT and Verify settings Persistence.
If supported : 

1. Check on the settings menu that the subtitles are activated

2. On settings menu, disable the subtitles  then go back to Live channel, and verify that subtitles are not displayed

*For Vodafone products:* 

Check on the settings menu that the subtitles menu is not impacted by Mini PI changes",,"A window with Subtitles options will be displayed.
User can navigate through the menu options
Subtitles should be displayed correctly and must be synchronized with Live audio
Subtitles are not displayed
Subtitles are displayed 

Subtitles should remain synchronized with the audio and video.
Subtitles should remain synchronized with the audio and video.
After the wakeup, subtitles should be diplayed and synchronized with audio
After the restart, subtitles should be diplayed and synchronized with audio

Captions are still enabled
# Subtitles are activated on settings menu
 # Subtitles are not displayed

*For Vodafone products:* 

Check on the settings menu that the subtitles menu is not impacted by Mini PI changes"
Live_DTT_Teletext_Swicth between Teletext and Apps,"From a channel that supports teletext, display the Teletext by pressing RC_BLUE
Launch for example Netflix application and play any playback


Press RC_BLUE


Exit Netflix


 Display the Teletext by pressing RC_BLUE

",,"Teletext page  should be displayed


Netflix is launched, playback is played.


Nothing happens.


Live is played properly


Teletext page  should be displayed

"
